company,reg_no,sic_div,ebitda_growth_raw,y_growth,margin_2022,y_margin_pp,log_turnover,firm_age,log_employees,rev_per_emp,rev_cagr_pre,ebitda_cagr_pre,margin_trend_pre
HFH HEALTHCARE LIMITED,07413577,82,1.2656665118732844,1.2656665118732844,0.0683584978525789,6.80035483212106,9.539086049757977,12.0,6.1224928095143865,47.53306322100134,-0.08200895276916764,0.12350932349447108,0.03106974952899389
KEY FORENSIC SERVICES LIMITED,11194776,71,5.51301325384158,4.030904718277599,0.03666202123874158,15.882095824249218,9.542868698741914,4.0,5.560681631015528,53.63420769230769,0.04719292839222722,-0.058406715302584455,-0.013770008723570835
LIVINGSTON PRECISION (ENGINEERING) LIMITED,SC222611,25,-0.026085178572339367,-0.026085178572339367,0.22012247765345921,2.5974331667921846,9.883125699902603,21.0,4.897839799950911,146.24538059701493,0.09756157323535297,0.05326936549277028,-0.02895399947880367
TRAIANA LIMITED,04839268,66,0.4409312881721536,0.4409312881721536,0.23959495022068714,7.906447714310624,9.64900431602426,19.0,4.189654742026425,234.9445606060606,0.2623228050166624,0.9487722700047208,0.1744762577832763
HAMMERSMITH MEDICINES RESEARCH LIMITED,02779946,72,-1.245845362026123,-1.245845362026123,0.08964666924325917,-11.214052824547514,9.99517408394057,29.0,5.673323267171493,75.32791752577319,0.08313807442892696,0.739455808344216,0.06800227547996196
GROSVENOR FARMS LIMITED,01153338,15,-0.08662707352037682,-0.08662707352037682,0.31890020898641586,-4.292718751497226,9.636392113692736,49.0,3.828641396489095,332.8695652173913,0.12868918700760568,0.18899545868250933,0.046104641327480766
DIF MANAGEMENT UK LIMITED,06570536,82,0.49505701425848647,0.49505701425848647,0.09615164633067379,0.28035152574567707,9.314119047183828,14.0,3.58351893845611,308.1541388888889,0.1872389684956528,0.2361081913103933,0.010959080134511787
DEANS ENGINEERING (LIVINGSTON) LIMITED,SC078852,82,-0.12625788808951768,-0.12625788808951768,0.1352766010418344,-1.3506810411187675,9.709668006483334,40.0,4.672828834461906,153.9825327102804,0.10420047918775177,0.05548146941968235,-0.019610281060412793
SYNIVERSE TECHNOLOGIES SOLUTIONS LIMITED,04885867,64,0.2649071358748778,0.2649071358748778,0.06624789535034321,1.4677683136210886,9.64484634886876,19.0,3.8918202981106265,315.14285714285717,0.03348844655887073,0.37097133887001266,0.03786845436099444
DISGUISE TECHNOLOGIES LIMITED,07937973,82,1.1488072544888732,1.1488072544888732,0.04770189964113499,5.440551811657813,9.673521531008426,10.0,5.153291594497779,91.85671676300578,0.256888081611542,-0.29606828313176115,-0.22383815307485025
BENIFEX FINANCIAL SOLUTIONS LTD,06242658,63,0.38086667346005704,0.38086667346005704,0.5032883884952079,8.367833323675878,9.380521784524795,15.0,4.343805421853684,153.9636233766234,0.887735726613931,0.6280055516052379,-0.28135596140225705
B TAYLOR & SONS TRANSPORT LIMITED,01697507,49,-0.39651700306650184,-0.39651700306650184,0.19384902970383522,-6.33194819557091,9.774686781427926,39.0,5.176149732573829,99.3388813559322,0.012106539917187131,0.06879919153529301,0.02923987866068431
TECHNIMARK LIMITED,07015232,22,-0.12560117009002786,-0.12560117009002786,0.20108887135429715,-1.3440472564927808,9.706385825168384,13.0,4.727387818712341,145.32869026548673,0.2767042944601814,0.4074369090709231,0.05099181106641984
KKR CAPSTONE EMEA LLP,OC380687,,0.11824953445065177,0.11824953445065177,0.5232870198483934,4.842794844243015,9.597777277564957,10.0,2.6390573296152584,1052.2857142857142,0.39029691683805723,0.45005483761666976,0.069174232298571
PURE CITY OPCO LIMITED,07296480,68,0.3962962962962963,0.3962962962962963,0.02191736342235571,0.21198719767771615,9.418898064961974,12.0,,,0.003762201132357701,-0.059930127885418405,-0.004763533055765955
METALLISATION LIMITED,04953775,28,-0.16809955326018428,-0.16809955326018428,0.1529410814578555,-0.7506683771700218,9.709197518400646,19.0,3.828641396489095,358.00828260869565,0.09785639053770945,0.1104240135181298,0.0051343462665952855
CAVITECH SOLUTIONS LIMITED,02566839,28,0.6190625400578257,0.6190625400578257,0.2541057810034285,3.180695916666665,9.257872128344008,32.0,3.9889840465642745,189.3209074074074,0.0020438011435852665,-0.005305920876398029,-0.005674429432634187
PNEUMATIC COMPONENTS LIMITED,00341813,32,0.15344281252583478,0.15344281252583478,0.15379023201434508,-0.08013924646712023,9.483042782414332,84.0,4.584967478670572,134.0315612244898,0.025623505594665863,-0.0670268975093743,-0.050517724087203286
DEPT DESIGN & TECHNOLOGY LTD,06175049,62,-0.08928876956859406,-0.08928876956859406,0.20658654178580704,-4.2510389346832875,9.415611804163614,15.0,4.804021044733257,100.64412295081968,0.22641278968377998,0.22227526830337774,-0.0021050567432437384
PHOEBUS SOFTWARE LIMITED,02441885,62,0.5284938057324422,0.5284938057324422,0.09901818864419668,2.581875230986942,9.353927250815943,33.0,4.77912349311153,97.009,-0.010989072208906325,0.08625940984249425,0.024284297800299157
FRONTLINE BATHROOMS LTD.,02533308,46,-0.854071363220494,-0.854071363220494,0.11052125992213964,-8.758811829740923,9.89237604778141,32.0,4.48863636973214,222.23595505617976,-0.03784583320351276,0.23200333130393425,0.05787783021845595
